,index,SMILES,atÊýÄ¿,RT,Speed,i-PrOH_proportion,Literature,Column
6522,3376,CCOC(=O)C1=C(N)Oc2c(Br)cc(Br)cc2[C@H]1C[N+]([O-])=O,1,80.2,1,0.058824,10.1039/C2CC30731F,ASH
6525,3378,COc1ccc(cc1)[C@H]2C[S](=O)(=O)c3ccccc23,1,80.7,1,0.2,10.1021/acs.orglett.0c03723,ASH
6526,3379,O[C@H](CCCC(=O)Nc1ccccc1)c2ccc(Cl)cc2,1,72.5,1,0.05,10.1039/C8QO00307F,ASH
6528,3380,O[C@H](CC(=O)Nc1ccccc1)c2ccccc2,1,85.9,0.5,0.05,10.1039/C8QO00307F,ODH
6531,3381,COc1ccc2cc(ccc2c1)[C@H](C)C(O)=O,1,83,0.8,0.03,10.1038/s41467/020/17057/z,OJ3
6532,3382,CC[C@H]1C[S](=O)(=O)c2ccccc12,1,83,0.3,0.05,10.1039/C8SC05397A,ADH
6535,3383,CC(=O)C[C@H](c1ccc(F)cc1)c2cn(c3ccccc23)[S](=O)(=O)C(F)(F)F,1,89.2,0.2,0.01,10.1021/acs.orglett.8b00169,OD
6537,3384,CO[P](=O)(OC)C(=[N+]=[N-])[C@]1(NC(=O)OC(C)(C)C)C(=O)N(C)c2ccc(I)cc12,1,93.969,0.5,0.06,10.1021/acs.orglett.6b02095,IA
6539,3385,COc1ccc(cc1OC)[C@H]2C[S](=O)(=O)c3ccccc23,1,99.6,1,0.2,10.1021/acs.orglett.0c03723,ASH
6540,3386,C[C@H](CC(=O)c1ccc(F)cc1)[S](=O)(=O)c2ccccc2,1,92.9,1,0.05,10.1021/acs.orglett.0c03517,OJH
6542,3387,CC[C@H](C#N)C#Cc1ccc(cc1)C#N,1,107.61,0.5,0.1,10.1021/jacs.9b02338,AS
6545,3389,O=C(NC(CC[C@H](C#N)c1ccc(cc1)c2ccccc2)CC#N)OCc3ccccc3,1,68.75,0.5,0.1,10.1038/s41467/021/22127/x,AD
6548,3390,CO[P](=O)(OC)C(=[N+]=[N-])[C@]1(NC(=O)OC(C)(C)C)C(=O)N(C)c2ccc(cc12)[N+]([O-])=O,1,107.86,0.5,0.06,10.1021/acs.orglett.6b02095,IA
6550,3391,CCOC(=O)C1=C(N)Oc2ccc(Br)cc2[C@H]1C[N+]([O-])=O,1,127.1,1,0.111111,10.1039/C2CC30731F,OJH
6552,3392,CCOC(=O)C1=C(N)Oc2c(Cl)cc(Cl)cc2[C@H]1C[N+]([O-])=O,1,132.3,1,0.032258,10.1039/C2CC30731F,ASH
6553,3393,COc1ccc(cc1)[C@H](O)C[S](=O)(=O)c2ccccc2,1,132.5,0.5,0.1,10.1039/c8ob02923g,ADH
6556,3394,CC(CCCC#N)[C@H](OC(=O)c1ccc(C)cc1)\C(C)=C\c2ccccc2,1,147.7,0.5,0.05,10.1021/jacs.1c06535,IC
6558,3395,CC(CCCC#N)[C@H](OC(=O)c1ccc(C)cc1)\C=C\c2ccccc2,1,159.19,0.5,0.05,10.1021/jacs.1c06535,IC
